country_region_code,country_region,sub_region_1,sub_region_2,iso_3166_2_code,census_fips_code,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
AU,Australia,Queensland,,AU-QLD,,2020-03-22,-18,1,-10,-30,-11,5
AU,Australia,South Australia,,AU-SA,,2020-03-22,-19,10,-15,-27,-8,6
AU,Australia,Tasmania,,AU-TAS,,2020-03-22,-27,-11,-41,-35,-9,7
AU,Australia,Victoria,,AU-VIC,,2020-03-22,-21,8,-36,-42,-14,8
AU,Australia,Western Australia,,AU-WA,,2020-03-22,-17,10,-20,-32,-9,7
AU,Australia,,,,,2020-03-22,-18,10,-11,-34,-12,6
AU,Australia,Australian Capital Territory,,AU-ACT,,2020-03-23,-14,33,-7,-25,4,7
AU,Australia,New South Wales,,AU-NSW,,2020-03-23,-20,19,-28,-38,-11,9
AU,Australia,Northern Territory,,AU-NT,,2020-03-23,-4,28,4,-10,17,3
AU,Australia,Queensland,,AU-QLD,,2020-03-23,-15,19,-30,-30,0,6
AU,Australia,South Australia,,AU-SA,,2020-03-23,-17,26,-28,-22,2,6
AU,Australia,Tasmania,,AU-TAS,,2020-03-23,-24,0,-44,-28,5,5
AU,Australia,Victoria,,AU-VIC,,2020-03-23,-19,14,-21,-43,-11,9
AU,Australia,Western Australia,,AU-WA,,2020-03-23,-16,20,-24,-27,-1,7
AU,Australia,,,,,2020-03-23,-17,17,-27,-36,-6,8
AU,Australia,Australian Capital Territory,,AU-ACT,,2020-03-24,-30,9,-7,-44,-18,14
AU,Australia,New South Wales,,AU-NSW,,2020-03-24,-33,4,-33,-47,-24,14
AU,Australia,Northern Territory,,AU-NT,,2020-03-24,-15,7,-14,-21,6,6
AU,Australia,Queensland,,AU-QLD,,2020-03-24,-23,11,-26,-36,-10,9
AU,Australia,South Australia,,AU-SA,,2020-03-24,-26,16,-33,-33,-9,9
AU,Australia,Tasmania,,AU-TAS,,2020-03-24,-31,-6,-36,-33,-3,7
AU,Australia,Victoria,,AU-VIC,,2020-03-24,-36,-6,-30,-56,-28,16
AU,Australia,Western Australia,,AU-WA,,2020-03-24,-23,14,-19,-32,-8,9
AU,Australia,,,,,2020-03-24,-30,4,-30,-45,-19,12
AU,Australia,Australian Capital Territory,,AU-ACT,,2020-03-25,-33,12,-5,-47,-23,16
AU,Australia,New South Wales,,AU-NSW,,2020-03-25,-36,0,-41,-53,-28,16
AU,Australia,Northern Territory,,AU-NT,,2020-03-25,-14,13,-15,-28,5,7
AU,Australia,Queensland,,AU-QLD,,2020-03-25,-24,8,-23,-40,-15,10
AU,Australia,South Australia,,AU-SA,,2020-03-25,-27,13,-26,-39,-12,11
AU,Australia,Tasmania,,AU-TAS,,2020-03-25,-30,-5,-43,-36,-6,9
AU,Australia,Victoria,,AU-VIC,,2020-03-25,-37,-4,-37,-60,-31,17
AU,Australia,Western Australia,,AU-WA,,2020-03-25,-25,13,-27,-40,-13,11
AU,Australia,,,,,2020-03-25,-31,2,-33,-50,-23,14
AU,Australia,Australian Capital Territory,,AU-ACT,,2020-03-26,-32,9,8,-48,-28,17
AU,Australia,New South Wales,,AU-NSW,,2020-03-26,-37,3,-33,-55,-32,18
AU,Australia,Northern Territory,,AU-NT,,2020-03-26,-21,5,-11,-31,-1,9
AU,Australia,Queensland,,AU-QLD,,2020-03-26,-28,7,-17,-46,-21,12
AU,Australia,South Australia,,AU-SA,,2020-03-26,-29,10,-18,-42,-17,12
AU,Australia,Tasmania,,AU-TAS,,2020-03-26,-34,-10,-35,-43,-9,11
AU,Australia,Victoria,,AU-VIC,,2020-03-26,-39,-5,-23,-63,-35,19
AU,Australia,Western Australia,,AU-WA,,2020-03-26,-30,5,-26,-45,-18,13
AU,Australia,,,,,2020-03-26,-34,2,-23,-53,-27,16
AU,Australia,Australian Capital Territory,,AU-ACT,,2020-03-27,-36,15,4,-50,-27,20
AU,Australia,New South Wales,,AU-NSW,,2020-03-27,-39,3,-30,-54,-31,18
AU,Australia,Northern Territory,,AU-NT,,2020-03-27,-24,10,-13,-39,1,10
AU,Australia,Queensland,,AU-QLD,,2020-03-27,-30,3,-35,-50,-18,13
AU,Australia,South Australia,,AU-SA,,2020-03-27,-33,7,-26,-43,-15,13
AU,Australia,Tasmania,,AU-TAS,,2020-03-27,-37,-11,-46,-44,-12,12
AU,Australia,Victoria,,AU-VIC,,2020-03-27,-39,-6,-27,-62,-36,20
AU,Australia,Western Australia,,AU-WA,,2020-03-27,-33,5,-35,-50,-18,15
AU,Australia,,,,,2020-03-27,-35,2,-30,-53,-26,17
AU,Australia,Australian Capital Territory,,AU-ACT,,2020-03-28,-38,4,25,-47,-24,13
AU,Australia,New South Wales,,AU-NSW,,2020-03-28,-44,-7,-39,-52,-29,15
AU,Australia,Northern Territory,,AU-NT,,2020-03-28,-30,-6,-21,-47,-21,12
AU,Australia,Queensland,,AU-QLD,,2020-03-28,-34,-3,-35,-49,-26,13
AU,Australia,South Australia,,AU-SA,,2020-03-28,-39,-3,-33,-47,-24,14
AU,Australia,Tasmania,,AU-TAS,,2020-03-28,-42,-25,-51,-51,-24,12
AU,Australia,Victoria,,AU-VIC,,2020-03-28,-46,-14,-32,-59,-29,17
AU,Australia,Western Australia,,AU-WA,,2020-03-28,-37,-4,-43,-54,-23,15
AU,Australia,,,,,2020-03-28,-41,-9,-34,-53,-27,15
AU,Australia,Australian Capital Territory,,AU-ACT,,2020-03-29,-40,-3,38,-52,-31,11
AU,Australia,New South Wales,,AU-NSW,,2020-03-29,-44,-13,-27,-57,-35,14
AU,Australia,Northern Territory,,AU-NT,,2020-03-29,-35,-13,-20,-55,-23,
AU,Australia,Queensland,,AU-QLD,,2020-03-29,-40,-19,-33,-57,-30,12
AU,Australia,South Australia,,AU-SA,,2020-03-29,-43,-15,-33,-55,-28,12
AU,Australia,Tasmania,,AU-TAS,,2020-03-29,-50,-30,-70,-62,-28,13
AU,Australia,Victoria,,AU-VIC,,2020-03-29,-51,-26,-55,-68,-37,16
AU,Australia,Western Australia,,AU-WA,,2020-03-29,-40,-16,-37,-55,-26,13
AU,Australia,,,,,2020-03-29,-45,-19,-35,-58,-33,13
AU,Australia,Australian Capital Territory,,AU-ACT,,2020-03-30,-42,1,-18,-54,-34,18
AU,Australia,New South Wales,,AU-NSW,,2020-03-30,-43,-13,-38,-60,-36,18
AU,Australia,Northern Territory,,AU-NT,,2020-03-30,-23,-5,-14,-43,-2,10
AU,Australia,Queensland,,AU-QLD,,2020-03-30,-35,-11,-34,-55,-25,13
AU,Australia,South Australia,,AU-SA,,2020-03-30,-38,-6,-36,-49,-20,13
AU,Australia,Tasmania,,AU-TAS,,2020-03-30,-39,-14,-66,-52,-17,11
AU,Australia,Victoria,,AU-VIC,,2020-03-30,-43,-16,-22,-66,-40,18
AU,Australia,Western Australia,,AU-WA,,2020-03-30,-36,-11,-38,-52,-25,15
AU,Australia,,,,,2020-03-30,-39,-13,-35,-59,-32,16
AU,Australia,Australian Capital Territory,,AU-ACT,,2020-03-31,-42,-5,-7,-58,-42,20
AU,Australia,New South Wales,,AU-NSW,,2020-03-31,-43,-13,-35,-60,-40,19
AU,Australia,Northern Territory,,AU-NT,,2020-03-31,-25,-10,-22,-40,-9,10
AU,Australia,Queensland,,AU-QLD,,2020-03-31,-34,-9,-28,-56,-30,14
AU,Australia,South Australia,,AU-SA,,2020-03-31,-36,-5,-32,-50,-25,14
AU,Australia,Tasmania,,AU-TAS,,2020-03-31,-50,-25,-63,-57,-24,14
AU,Australia,Victoria,,AU-VIC,,2020-03-31,-46,-20,-35,-69,-44,21
AU,Australia,Western Australia,,AU-WA,,2020-03-31,-35,-9,-33,-52,-28,15
AU,Australia,,,,,2020-03-31,-41,-13,-35,-59,-36,18
AU,Australia,Australian Capital Territory,,AU-ACT,,2020-04-01,-41,1,0,-57,-45,22
AU,Australia,New South Wales,,AU-NSW,,2020-04-01,-44,-12,-42,-62,-41,20
AU,Australia,Northern Territory,,AU-NT,,2020-04-01,-24,-6,-20,-43,-8,11
AU,Australia,Queensland,,AU-QLD,,2020-04-01,-34,-9,-29,-56,-32,16
AU,Australia,South Australia,,AU-SA,,2020-04-01,-36,-5,-37,-51,-26,15
AU,Australia,Tasmania,,AU-TAS,,2020-04-01,-46,-23,-58,-56,-25,15
AU,Australia,Victoria,,AU-VIC,,2020-04-01,-45,-18,-34,-69,-44,21
AU,Australia,Western Australia,,AU-WA,,2020-04-01,-36,-9,-37,-53,-29,17
AU,Australia,,,,,2020-04-01,-40,-13,-36,-60,-37,19
AU,Australia,Australian Capital Territory,,AU-ACT,,2020-04-02,-44,-7,-43,-64,-47,23
AU,Australia,New South Wales,,AU-NSW,,2020-04-02,-44,-12,-47,-63,-41,22
AU,Australia,Northern Territory,,AU-NT,,2020-04-02,-24,-2,-18,-46,-11,13
AU,Australia,Queensland,,AU-QLD,,2020-04-02,-35,-8,-27,-58,-33,15
AU,Australia,South Australia,,AU-SA,,2020-04-02,-34,-2,-20,-50,-28,15
AU,Australia,Tasmania,,AU-TAS,,2020-04-02,-52,-29,-72,-66,-27,18
AU,Australia,Victoria,,AU-VIC,,2020-04-02,-49,-21,-59,-72,-46,24
AU,Australia,Western Australia,,AU-WA,,2020-04-02,-37,-11,-41,-55,-31,18
AU,Australia,,,,,2020-04-02,-42,-13,-42,-63,-38,20
AU,Australia,Australian Capital Territory,,AU-ACT,,2020-04-03,-41,5,-21,-60,-44,25
AU,Australia,New South Wales,,AU-NSW,,2020-04-03,-44,-8,-47,-61,-39,21
AU,Australia,Northern Territory,,AU-NT,,2020-04-03,-24,9,-21,-45,-8,12
AU,Australia,Queensland,,AU-QLD,,2020-04-03,-35,-7,-33,-58,-29,16
AU,Australia,South Australia,,AU-SA,,2020-04-03,-37,-2,-44,-53,-25,16
AU,Australia,Tasmania,,AU-TAS,,2020-04-03,-45,-20,-61,-60,-25,17
AU,Australia,Victoria,,AU-VIC,,2020-04-03,-43,-12,-43,-69,-44,23
AU,Australia,Western Australia,,AU-WA,,2020-04-03,-36,-5,-39,-58,-28,18
AU,Australia,,,,,2020-04-03,-40,-7,-41,-61,-36,20
AU,Australia,Australian Capital Territory,,AU-ACT,,2020-04-04,-42,1,-31,-60,-32,15
AU,Australia,New South Wales,,AU-NSW,,2020-04-04,-46,-10,-49,-58,-35,17
AU,Australia,Northern Territory,,AU-NT,,2020-04-04,-26,-9,-20,-52,-23,12
AU,Australia,Queensland,,AU-QLD,,2020-04-04,-38,-11,-44,-59,-31,15
AU,Australia,South Australia,,AU-SA,,2020-04-04,-39,-5,-60,-56,-28,16
AU,Australia,Tasmania,,AU-TAS,,2020-04-04,-52,-33,-79,-70,-34,18
AU,Australia,Victoria,,AU-VIC,,2020-04-04,-52,-22,-74,-70,-38,21
AU,Australia,Western Australia,,AU-WA,,2020-04-04,-39,-9,-46,-60,-27,16
AU,Australia,,,,,2020-04-04,-44,-14,-52,-61,-33,17
AU,Australia,Australian Capital Territory,,AU-ACT,,2020-04-05,-39,-3,-7,-61,-36,13
AU,Australia,New South Wales,,AU-NSW,,2020-04-05,-43,-11,-27,-59,-37,14
AU,Australia,Northern Territory,,AU-NT,,2020-04-05,-29,-16,-22,-58,-25,
AU,Australia,Queensland,,AU-QLD,,2020-04-05,-37,-17,-35,-60,-33,12
AU,Australia,South Australia,,AU-SA,,2020-04-05,-40,-13,-48,-59,-30,12
AU,Australia,Tasmania,,AU-TAS,,2020-04-05,-52,-31,-76,-70,-33,15
AU,Australia,Victoria,,AU-VIC,,2020-04-05,-52,-26,-75,-74,-42,18
AU,Australia,Western Australia,,AU-WA,,2020-04-05,-40,-17,-43,-61,-29,14
AU,Australia,,,,,2020-04-05,-44,-18,-43,-62,-36,14
AU,Australia,Australian Capital Territory,,AU-ACT,,2020-04-06,-40,3,-6,-55,-45,20
AU,Australia,New South Wales,,AU-NSW,,2020-04-06,-40,-11,-35,-60,-39,18
AU,Australia,Northern Territory,,AU-NT,,2020-04-06,-21,-2,-13,-47,-8,11
AU,Australia,Queensland,,AU-QLD,,2020-04-06,-31,-8,-33,-58,-33,15
AU,Australia,South Australia,,AU-SA,,2020-04-06,-33,-4,-31,-51,-25,13
AU,Australia,Tasmania,,AU-TAS,,2020-04-06,-46,-24,-68,-59,-24,14
AU,Australia,Victoria,,AU-VIC,,2020-04-06,-42,-16,-34,-69,-43,20
AU,Australia,Western Australia,,AU-WA,,2020-04-06,-34,-10,-32,-56,-29,16
AU,Australia,,,,,2020-04-06,-37,-12,-35,-61,-37,17
AU,Australia,Australian Capital Territory,,AU-ACT,,2020-04-07,-40,-2,-11,-58,-46,21
AU,Australia,New South Wales,,AU-NSW,,2020-04-07,-41,-9,-44,-61,-42,20
AU,Australia,Northern Territory,,AU-NT,,2020-04-07,-23,-4,-19,-48,-14,11
AU,Australia,Queensland,,AU-QLD,,2020-04-07,-31,-5,-27,-57,-37,15
AU,Australia,South Australia,,AU-SA,,2020-04-07,-33,1,-35,-51,-29,15
AU,Australia,Tasmania,,AU-TAS,,2020-04-07,-45,-21,-62,-56,-28,15
AU,Australia,Victoria,,AU-VIC,,2020-04-07,-44,-17,-46,-70,-46,22
AU,Australia,Western Australia,,AU-WA,,2020-04-07,-33,-6,-27,-55,-31,16
AU,Australia,,,,,2020-04-07,-38,-10,-39,-61,-39,19
AU,Australia,Australian Capital Territory,,AU-ACT,,2020-04-08,-38,10,-18,-60,-47,22
AU,Australia,New South Wales,,AU-NSW,,2020-04-08,-39,-5,-46,-62,-41,20
AU,Australia,Northern Territory,,AU-NT,,2020-04-08,-20,2,-16,-44,-12,12
AU,Australia,Queensland,,AU-QLD,,2020-04-08,-30,-3,-35,-57,-37,16
AU,Australia,South Australia,,AU-SA,,2020-04-08,-29,7,-24,-51,-28,14
AU,Australia,Tasmania,,AU-TAS,,2020-04-08,-41,-15,-60,-56,-27,14
AU,Australia,Victoria,,AU-VIC,,2020-04-08,-41,-11,-41,-69,-45,21
AU,Australia,Western Australia,,AU-WA,,2020-04-08,-31,-2,-27,-58,-30,16
AU,Australia,,,,,2020-04-08,-35,-6,-38,-61,-39,19
AU,Australia,Australian Capital Territory,,AU-ACT,,2020-04-09,-27,30,-11,-56,-48,20
AU,Australia,New South Wales,,AU-NSW,,2020-04-09,-30,16,-37,-60,-42,19
AU,Australia,Northern Territory,,AU-NT,,2020-04-09,-11,21,-15,-41,-15,11
AU,Australia,Queensland,,AU-QLD,,2020-04-09,-21,21,-32,-56,-39,14
AU,Australia,South Australia,,AU-SA,,2020-04-09,-19,28,-20,-48,-31,14
AU,Australia,Tasmania,,AU-TAS,,2020-04-09,-34,1,-52,-55,-27,14
AU,Australia,Victoria,,AU-VIC,,2020-04-09,-34,9,-32,-68,-46,21
AU,Australia,Western Australia,,AU-WA,,2020-04-09,-23,16,-30,-55,-31,16
AU,Australia,,,,,2020-04-09,-28,15,-31,-59,-40,18
AU,Australia,Australian Capital Territory,,AU-ACT,,2020-04-10,-74,-28,-26,-78,-87,38
AU,Australia,New South Wales,,AU-NSW,,2020-04-10,-72,-49,-53,-77,-82,34
AU,Australia,Northern Territory,,AU-NT,,2020-04-10,-67,-60,-27,-67,-74,30
AU,Australia,Queensland,,AU-QLD,,2020-04-10,-78,-58,-46,-77,-81,31
AU,Australia,South Australia,,AU-SA,,2020-04-10,-79,-59,-28,-68,-78,29
AU,Australia,Tasmania,,AU-TAS,,2020-04-10,-86,-71,-73,-78,-78,31
AU,Australia,Victoria,,AU-VIC,,2020-04-10,-79,-68,-41,-81,-84,36
AU,Australia,Western Australia,,AU-WA,,2020-04-10,-74,-35,-26,-74,-77,31
AU,Australia,,,,,2020-04-10,-76,-55,-43,-77,-82,33
AU,Australia,Australian Capital Territory,,AU-ACT,,2020-04-11,-38,11,-22,-61,-40,15
AU,Australia,New South Wales,,AU-NSW,,2020-04-11,-43,-2,-48,-60,-43,18
AU,Australia,Northern Territory,,AU-NT,,2020-04-11,-24,7,-19,-54,-30,12
AU,Australia,Queensland,,AU-QLD,,2020-04-11,-34,0,-50,-62,-39,15
AU,Australia,South Australia,,AU-SA,,2020-04-11,-33,9,-48,-52,-35,15
AU,Australia,Tasmania,,AU-TAS,,2020-04-11,-49,-22,-78,-71,-38,18
AU,Australia,Victoria,,AU-VIC,,2020-04-11,-46,-4,-73,-72,-45,22
AU,Australia,Western Australia,,AU-WA,,2020-04-11,-32,2,-39,-62,-32,16
AU,Australia,,,,,2020-04-11,-40,-2,-51,-63,-41,18
AU,Australia,Australian Capital Territory,,AU-ACT,,2020-04-12,-52,-24,41,-55,-44,13
AU,Australia,New South Wales,,AU-NSW,,2020-04-12,-63,-39,-33,-63,-48,17
AU,Australia,Northern Territory,,AU-NT,,2020-04-12,-36,-25,-15,-57,-27,
AU,Australia,Queensland,,AU-QLD,,2020-04-12,-51,-40,-47,-64,-39,13
AU,Australia,South Australia,,AU-SA,,2020-04-12,-64,-38,-35,-56,-37,12
AU,Australia,Tasmania,,AU-TAS,,2020-04-12,-61,-46,-77,-70,-36,16
AU,Australia,Victoria,,AU-VIC,,2020-04-12,-59,-40,-62,-74,-47,18
AU,Australia,Western Australia,,AU-WA,,2020-04-12,-47,-31,-38,-60,-31,14
AU,Australia,,,,,2020-04-12,-58,-38,-42,-64,-43,15
AU,Australia,Australian Capital Territory,,AU-ACT,,2020-04-13,-45,-5,32,-70,-84,29
AU,Australia,New South Wales,,AU-NSW,,2020-04-13,-44,-19,-18,-72,-79,28
AU,Australia,Northern Territory,,AU-NT,,2020-04-13,-35,-21,3,-63,-70,25
AU,Australia,Queensland,,AU-QLD,,2020-04-13,-46,-27,-29,-73,-77,25
AU,Australia,South Australia,,AU-SA,,2020-04-13,-50,-31,-2,-65,-74,24
AU,Australia,Tasmania,,AU-TAS,,2020-04-13,-63,-41,-71,-72,-73,25
AU,Australia,Victoria,,AU-VIC,,2020-04-13,-48,-23,-8,-79,-80,29
AU,Australia,Western Australia,,AU-WA,,2020-04-13,-43,-23,-11,-69,-73,26
AU,Australia,,,,,2020-04-13,-45,-23,-18,-73,-78,27
AU,Australia,Australian Capital Territory,,AU-ACT,,2020-04-14,-40,-1,-11,-61,-50,22
AU,Australia,New South Wales,,AU-NSW,,2020-04-14,-38,-6,-34,-62,-46,20
AU,Australia,Northern Territory,,AU-NT,,2020-04-14,-21,-5,-10,-45,-19,12
AU,Australia,Queensland,,AU-QLD,,2020-04-14,-31,-2,-29,-58,-38,16
AU,Australia,South Australia,,AU-SA,,2020-04-14,-30,4,-24,-51,-34,15
AU,Australia,Tasmania,,AU-TAS,,2020-04-14,-51,-25,-61,-59,-42,18
AU,Australia,Victoria,,AU-VIC,,2020-04-14,-42,-14,-42,-71,-47,22
AU,Australia,Western Australia,,AU-WA,,2020-04-14,-30,-3,-27,-57,-35,16
AU,Australia,,,,,2020-04-14,-37,-7,-35,-61,-42,19
AU,Australia,Australian Capital Territory,,AU-ACT,,2020-04-15,-38,8,16,-58,-49,23
AU,Australia,New South Wales,,AU-NSW,,2020-04-15,-40,-7,-27,-60,-44,20
AU,Australia,Northern Territory,,AU-NT,,2020-04-15,-21,-1,-11,-43,-16,13
AU,Australia,Queensland,,AU-QLD,,2020-04-15,-33,-8,-29,-57,-38,17
AU,Australia,South Australia,,AU-SA,,2020-04-15,-33,-2,-21,-52,-33,16
AU,Australia,Tasmania,,AU-TAS,,2020-04-15,-51,-27,-71,-63,-36,18
AU,Australia,Victoria,,AU-VIC,,2020-04-15,-43,-15,-40,-70,-45,22
AU,Australia,Western Australia,,AU-WA,,2020-04-15,-32,-6,-30,-56,-34,17
AU,Australia,,,,,2020-04-15,-37,-10,-31,-60,-41,20
AU,Australia,Australian Capital Territory,,AU-ACT,,2020-04-16,-37,6,-3,-57,-49,22
AU,Australia,New South Wales,,AU-NSW,,2020-04-16,-40,-6,-26,-60,-43,21
AU,Australia,Northern Territory,,AU-NT,,2020-04-16,-20,0,-11,-43,-18,13
AU,Australia,Queensland,,AU-QLD,,2020-04-16,-34,-5,-23,-58,-38,16
AU,Australia,South Australia,,AU-SA,,2020-04-16,-32,0,-24,-51,-34,16
AU,Australia,Tasmania,,AU-TAS,,2020-04-16,-50,-24,-60,-60,-35,18
AU,Australia,Victoria,,AU-VIC,,2020-04-16,-45,-13,-42,-70,-44,23
AU,Australia,Western Australia,,AU-WA,,2020-04-16,-32,-6,-25,-56,-34,18
AU,Australia,,,,,2020-04-16,-39,-8,-27,-60,-41,20
AU,Australia,Australian Capital Territory,,AU-ACT,,2020-04-17,-37,12,15,-56,-46,24
AU,Australia,New South Wales,,AU-NSW,,2020-04-17,-40,-3,-27,-58,-41,20
AU,Australia,Northern Territory,,AU-NT,,2020-04-17,-21,10,-12,-42,-15,13
AU,Australia,Queensland,,AU-QLD,,2020-04-17,-33,-6,-31,-59,-35,17
AU,Australia,South Australia,,AU-SA,,2020-04-17,-33,0,-32,-51,-31,16
AU,Australia,Tasmania,,AU-TAS,,2020-04-17,-51,-24,-69,-65,-34,20
AU,Australia,Victoria,,AU-VIC,,2020-04-17,-41,-9,-47,-68,-43,23
AU,Australia,Western Australia,,AU-WA,,2020-04-17,-33,-3,-28,-57,-33,18
AU,Australia,,,,,2020-04-17,-37,-4,-33,-59,-39,20
AU,Australia,Australian Capital Territory,,AU-ACT,,2020-04-18,-39,-6,47,-45,-26,13
AU,Australia,New South Wales,,AU-NSW,,2020-04-18,-44,-9,-34,-51,-31,15
AU,Australia,Northern Territory,,AU-NT,,2020-04-18,-25,-6,-10,-39,-21,10
AU,Australia,Queensland,,AU-QLD,,2020-04-18,-40,-12,-50,-57,-30,14
AU,Australia,South Australia,,AU-SA,,2020-04-18,-36,-5,-42,-49,-26,14
AU,Australia,Tasmania,,AU-TAS,,2020-04-18,-53,-30,-71,-66,-33,17
AU,Australia,Victoria,,AU-VIC,,2020-04-18,-47,-13,-54,-63,-33,19
AU,Australia,Western Australia,,AU-WA,,2020-04-18,-37,-10,-48,-56,-25,15
AU,Australia,,,,,2020-04-18,-43,-11,-42,-55,-30,16
AU,Australia,Australian Capital Territory,,AU-ACT,,2020-04-19,-41,-12,49,-52,-36,11
AU,Australia,New South Wales,,AU-NSW,,2020-04-19,-46,-13,-27,-57,-36,14
AU,Australia,Northern Territory,,AU-NT,,2020-04-19,-29,-8,-11,-48,-23,
AU,Australia,Queensland,,AU-QLD,,2020-04-19,-41,-18,-43,-60,-32,12
AU,Australia,South Australia,,AU-SA,,2020-04-19,-40,-17,-32,-55,-27,11
AU,Australia,Tasmania,,AU-TAS,,2020-04-19,-56,-30,-69,-67,-32,15
AU,Australia,Victoria,,AU-VIC,,2020-04-19,-49,-19,-44,-66,-37,16
AU,Australia,Western Australia,,AU-WA,,2020-04-19,-40,-20,-43,-56,-27,13
AU,Australia,,,,,2020-04-19,-45,-17,-35,-58,-34,14
AU,Australia,Australian Capital Territory,,AU-ACT,,2020-04-20,-43,-11,-14,-54,-46,20
AU,Australia,New South Wales,,AU-NSW,,2020-04-20,-41,-15,-34,-60,-40,19
AU,Australia,Northern Territory,,AU-NT,,2020-04-20,-20,0,-15,-39,1,9
AU,Australia,Queensland,,AU-QLD,,2020-04-20,-36,-12,-34,-57,-27,14
AU,Australia,South Australia,,AU-SA,,2020-04-20,-34,-10,-30,-50,-29,14
AU,Australia,Tasmania,,AU-TAS,,2020-04-20,-52,-24,-75,-64,-31,16
AU,Australia,Victoria,,AU-VIC,,2020-04-20,-46,-18,-36,-69,-41,20
AU,Australia,Western Australia,,AU-WA,,2020-04-20,-33,-8,-31,-56,-31,16
AU,Australia,,,,,2020-04-20,-39,-14,-35,-60,-35,17
AU,Australia,Australian Capital Territory,,AU-ACT,,2020-04-21,-42,-15,-2,-56,-46,21
AU,Australia,New South Wales,,AU-NSW,,2020-04-21,-41,-14,-28,-59,-42,19
AU,Australia,Northern Territory,,AU-NT,,2020-04-21,-24,-7,-15,-40,-3,9
AU,Australia,Queensland,,AU-QLD,,2020-04-21,-35,-10,-25,-56,-29,14
AU,Australia,South Australia,,AU-SA,,2020-04-21,-33,-7,-22,-48,-31,15
AU,Australia,Tasmania,,AU-TAS,,2020-04-21,-50,-21,-65,-60,-32,16
AU,Australia,Victoria,,AU-VIC,,2020-04-21,-44,-18,-39,-68,-42,21
AU,Australia,Western Australia,,AU-WA,,2020-04-21,-32,-6,-25,-52,-32,16
AU,Australia,,,,,2020-04-21,-39,-13,-31,-58,-37,18
AU,Australia,Australian Capital Territory,,AU-ACT,,2020-04-22,-41,-10,14,-55,-46,22
AU,Australia,New South Wales,,AU-NSW,,2020-04-22,-41,-12,-23,-58,-41,19
AU,Australia,Northern Territory,,AU-NT,,2020-04-22,-22,-3,-12,-35,-2,9
AU,Australia,Queensland,,AU-QLD,,2020-04-22,-36,-11,-26,-55,-30,15
AU,Australia,South Australia,,AU-SA,,2020-04-22,-32,-7,-10,-48,-31,14
AU,Australia,Tasmania,,AU-TAS,,2020-04-22,-47,-19,-62,-58,-32,16
AU,Australia,Victoria,,AU-VIC,,2020-04-22,-44,-16,-40,-68,-42,21
AU,Australia,Western Australia,,AU-WA,,2020-04-22,-32,-5,-33,-55,-32,17
AU,Australia,,,,,2020-04-22,-38,-12,-28,-58,-37,18
AU,Australia,Australian Capital Territory,,AU-ACT,,2020-04-23,-39,-13,6,-53,-47,21
AU,Australia,New South Wales,,AU-NSW,,2020-04-23,-39,-8,-17,-57,-41,20
AU,Australia,Northern Territory,,AU-NT,,2020-04-23,-21,-2,-10,-34,-4,10
AU,Australia,Queensland,,AU-QLD,,2020-04-23,-36,-7,-24,-56,-30,15
AU,Australia,South Australia,,AU-SA,,2020-04-23,-35,-6,-46,-55,-32,17
AU,Australia,Tasmania,,AU-TAS,,2020-04-23,-47,-19,-57,-59,-30,16
AU,Australia,Victoria,,AU-VIC,,2020-04-23,-45,-15,-43,-68,-42,22
AU,Australia,Western Australia,,AU-WA,,2020-04-23,-32,-5,-23,-53,-32,17
AU,Australia,,,,,2020-04-23,-39,-9,-26,-58,-37,19
AU,Australia,Australian Capital Territory,,AU-ACT,,2020-04-24,-39,-3,25,-51,-44,23
AU,Australia,New South Wales,,AU-NSW,,2020-04-24,-39,-4,-22,-56,-39,19
AU,Australia,Northern Territory,,AU-NT,,2020-04-24,-19,10,-8,-36,-1,9
AU,Australia,Queensland,,AU-QLD,,2020-04-24,-31,-1,-31,-55,-27,14
AU,Australia,South Australia,,AU-SA,,2020-04-24,-29,3,-19,-46,-28,15
AU,Australia,Tasmania,,AU-TAS,,2020-04-24,-46,-15,-63,-61,-31,18
AU,Australia,Victoria,,AU-VIC,,2020-04-24,-39,-8,-34,-65,-41,21
AU,Australia,Western Australia,,AU-WA,,2020-04-24,-30,2,-29,-55,-30,17
AU,Australia,,,,,2020-04-24,-36,-2,-27,-56,-35,18
AU,Australia,Australian Capital Territory,,AU-ACT,,2020-04-25,-45,-11,49,-49,-42,14
AU,Australia,New South Wales,,AU-NSW,,2020-04-25,-49,-16,-26,-51,-44,16
AU,Australia,Northern Territory,,AU-NT,,2020-04-25,-32,-11,-2,-42,-32,11
AU,Australia,Queensland,,AU-QLD,,2020-04-25,-62,-54,-31,-58,-49,16
AU,Australia,South Australia,,AU-SA,,2020-04-25,-46,-22,-37,-50,-38,15
AU,Australia,Tasmania,,AU-TAS,,2020-04-25,-56,-35,-70,-65,-40,17
AU,Australia,Victoria,,AU-VIC,,2020-04-25,-49,-22,-41,-62,-44,20
AU,Australia,Western Australia,,AU-WA,,2020-04-25,-53,-32,-34,-59,-38,16
AU,Australia,,,,,2020-04-25,-52,-28,-30,-56,-43,17
